,District,District Number,TEA District Type,TEA Description,NCES District Type,NCES Description,Charter School (Y/N),2018-19 District Enrollment,Campuses would Qualify as Rural for Teacher Incentive Allotment Purposes Based on TEA Definition (Yes/No),"Campuses would Qualify as Rural for Teacher Incentive Allotment Purposes Based on NCES Definition and Enrollment <5,000 (Yes/No)"
1137,WACO ISD,161914,C,Other Central City,12.0,City-Midsize,N,14756,No,No
1138,WAELDER ISD,89905,H,Rural,43.0,Rural-Remote,N,317,Yes,Yes
1139,WALCOTT ISD,59902,H,Rural,43.0,Rural-Remote,N,146,Yes,Yes
1140,WALL ISD,226906,D,Other Central City Suburban,41.0,Rural-Fringe,N,1179,No,Yes
1141,WALLER ISD,237904,E,Independent Town,42.0,Rural-Distant,N,7403,No,No
1142,WALNUT BEND ISD,49908,H,Rural,42.0,Rural-Distant,N,80,Yes,Yes
1143,WALNUT SPRINGS ISD,18905,H,Rural,43.0,Rural-Remote,N,187,Yes,Yes
1144,WARREN ISD,229904,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1277,No,Yes
1145,WASKOM ISD,102903,G,Non-metropolitan Stable,42.0,Rural-Distant,N,903,No,Yes
1146,WATER VALLEY ISD,226905,F,Non-metropolitan Fast Growing,42.0,Rural-Distant,N,336,No,Yes
1147,WAXAHACHIE FAITH FAMILY ACADEMY,70801,I,Charter School Districts,11.0,City-Large,Y,2646,No,No
1148,WAXAHACHIE ISD,70912,C,Other Central City,21.0,Suburb-Large,N,8937,No,No
1149,WAYSIDE SCHOOLS,227803,I,Charter School Districts,11.0,City-Large,Y,2095,No,No
1150,WEATHERFORD ISD,184903,C,Other Central City,31.0,Town-Fringe,N,8081,No,No
1151,WEBB CISD,240904,H,Rural,43.0,Rural-Remote,N,268,Yes,Yes
1152,WEIMAR ISD,45905,H,Rural,42.0,Rural-Distant,N,673,Yes,Yes
1153,WELLINGTON ISD,44902,H,Rural,43.0,Rural-Remote,N,586,Yes,Yes
1154,WELLMAN-UNION CISD,223904,F,Non-metropolitan Fast Growing,42.0,Rural-Distant,N,335,No,Yes
1155,WELLS ISD,37909,H,Rural,42.0,Rural-Distant,N,298,Yes,Yes
1156,WESLACO ISD,108913,D,Other Central City Suburban,21.0,Suburb-Large,N,17275,No,No
1157,WEST HARDIN COUNTY CISD,100908,H,Rural,42.0,Rural-Distant,N,558,Yes,Yes
1158,WEST ISD,161916,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,1359,No,Yes
1159,WEST ORANGE-COVE CISD,181906,G,Non-metropolitan Stable,22.0,Suburb-Midsize,N,2465,No,No
1160,WEST OSO ISD,178915,D,Other Central City Suburban,11.0,City-Large,N,2095,No,No
1161,WEST RUSK COUNTY CONSOLIDATED ISD,201914,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1089,No,Yes
1162,WEST SABINE ISD,202905,H,Rural,43.0,Rural-Remote,N,613,Yes,Yes
1163,WESTBROOK ISD,168903,H,Rural,42.0,Rural-Distant,N,272,Yes,Yes
1164,WESTHOFF ISD,62905,H,Rural,43.0,Rural-Remote,N,87,Yes,Yes
1165,WESTLAKE ACADEMY CHARTER SCHOOL,220810,I,Charter School Districts,41.0,Rural-Fringe,Y,879,No,Yes
1166,WESTPHALIA ISD,73904,H,Rural,42.0,Rural-Distant,N,155,Yes,Yes
1167,WESTWOOD ISD,1908,G,Non-metropolitan Stable,32.0,Town-Distant,N,1518,No,No
1168,WHARTON ISD,241904,G,Non-metropolitan Stable,32.0,Town-Distant,N,2015,No,No
1169,WHEELER ISD,242903,H,Rural,43.0,Rural-Remote,N,468,Yes,Yes
1170,WHITE DEER ISD,33904,H,Rural,43.0,Rural-Remote,N,352,Yes,Yes
1171,WHITE OAK ISD,92908,D,Other Central City Suburban,23.0,Suburb-Small,N,1499,No,No
1172,WHITE SETTLEMENT ISD,220920,B,Major Suburban,41.0,Rural-Fringe,N,6842,No,No
1173,WHITEFACE CISD,40902,H,Rural,43.0,Rural-Remote,N,313,Yes,Yes
1174,WHITEHOUSE ISD,212906,D,Other Central City Suburban,22.0,Suburb-Midsize,N,4831,No,No
1175,WHITESBORO ISD,91909,D,Other Central City Suburban,32.0,Town-Distant,N,1615,No,No
1176,WHITEWRIGHT ISD,91910,H,Rural,42.0,Rural-Distant,N,862,Yes,Yes
1177,WHITHARRAL ISD,110908,H,Rural,42.0,Rural-Distant,N,175,Yes,Yes
1178,WHITNEY ISD,109911,E,Independent Town,42.0,Rural-Distant,N,1491,No,Yes
1179,WICHITA FALLS ISD,243905,C,Other Central City,12.0,City-Midsize,N,14094,No,No
1180,WILDORADO ISD,180904,H,Rural,42.0,Rural-Distant,N,176,Yes,Yes
1181,WILLIS ISD,170904,D,Other Central City Suburban,41.0,Rural-Fringe,N,7493,No,No
1182,WILLS POINT ISD,234907,D,Other Central City Suburban,32.0,Town-Distant,N,2520,No,No
1183,WILSON ISD,153907,H,Rural,42.0,Rural-Distant,N,103,Yes,Yes
1184,WIMBERLEY ISD,105905,D,Other Central City Suburban,41.0,Rural-Fringe,N,2501,No,Yes
1185,WINDHAM SCHOOL DISTRICT,236903,,,32.0,Town-Distant,N,.,No,No
1186,WINDTHORST ISD,5904,H,Rural,42.0,Rural-Distant,N,403,Yes,Yes
1187,WINFIELD ISD,225905,H,Rural,42.0,Rural-Distant,N,.,Yes,No
1188,WINFREE ACADEMY CHARTER SCHOOLS,57828,I,Charter School Districts,21.0,Suburb-Large,Y,1317,No,No
1189,WINK-LOVING ISD,248902,H,Rural,42.0,Rural-Distant,N,461,Yes,Yes
1190,WINNSBORO ISD,250907,E,Independent Town,32.0,Town-Distant,N,1493,No,No
1191,WINONA ISD,212910,D,Other Central City Suburban,41.0,Rural-Fringe,N,1098,No,Yes
1192,WINTERS ISD,200904,H,Rural,32.0,Town-Distant,N,559,Yes,No
1193,WODEN ISD,174906,H,Rural,42.0,Rural-Distant,N,763,Yes,Yes
1194,WOLFE CITY ISD,116909,H,Rural,43.0,Rural-Remote,N,683,Yes,Yes
1195,WOODSBORO ISD,196902,H,Rural,42.0,Rural-Distant,N,441,Yes,Yes
1196,WOODSON ISD,224902,H,Rural,43.0,Rural-Remote,N,144,Yes,Yes
1197,WOODVILLE ISD,229903,G,Non-metropolitan Stable,33.0,Town-Remote,N,1285,No,No
1198,WORTHAM ISD,81905,H,Rural,42.0,Rural-Distant,N,495,Yes,Yes
1199,WYLIE ISD,43914,D,Other Central City Suburban,21.0,Suburb-Large,N,16527,No,No
1200,WYLIE ISD,221912,D,Other Central City Suburban,12.0,City-Midsize,N,4600,No,No
1201,YANTIS ISD,250905,H,Rural,43.0,Rural-Remote,N,377,Yes,Yes
1202,YELLOWSTONE COLLEGE PREPARATORY,101873,,,,,Y,227,No,No
1203,YES PREP PUBLIC SCHOOLS INC,101845,I,Charter School Districts,11.0,City-Large,Y,11405,No,No
1204,YOAKUM ISD,62903,G,Non-metropolitan Stable,32.0,Town-Distant,N,1616,No,No
1205,YORKTOWN ISD,62904,H,Rural,43.0,Rural-Remote,N,546,Yes,Yes
1206,YSLETA ISD,71905,A,Major Urban,11.0,City-Large,N,41064,No,No
1207,ZAPATA COUNTY ISD,253901,D,Other Central City Suburban,33.0,Town-Remote,N,3522,No,No
1208,ZAVALLA ISD,3906,H,Rural,43.0,Rural-Remote,N,360,Yes,Yes
1209,ZEPHYR ISD,25906,H,Rural,42.0,Rural-Distant,N,218,Yes,Yes
