distname,district_id,county,dflchart,dflalted,asvab_status,tea description,nces description,charter school (y/n),tea district type,nces district type,region,cntyname,district 2023 staff: teacher student ratio,district 2022-23 total students count,district 2023 staff: all staff total full time equiv count,district 2022-23 african american students percent,district 2022-23 american indian students percent,district 2022-23 asian students percent,district 2022-23 hispanic students percent,district 2022-23 pacific islander students percent,district 2022-23 white students percent,district 2022-23 two or more races students percent,district 2022-23 economically disadvantaged students percent,district 2022-23 title i students percent,district 2022-23 special education students percent,district 2022-23 section 504 students percent,district 2022-23 bilingual/esl education students percent,district 2022-23 emergent bilingual/english learner students percent,district 2022-23 homeless students percent,district 2022-23 immigrant students percent,district 2022-23 migrant students percent,district 2022-23 military connected students percent,district 2022-23 foster care students percent,district 2022-23 gifted & talented education students percent
FT SAM HOUSTON ISD,15914,'015,N,N, ,Non-metropolitan Stable,City-Large,N,G,11,'20,BEXAR,11.8,1627.0,291.7,14.3,0.8,2.5,29.4,0.7,40.1,12.1,21.9,52.2,15.2,7.7,2.2,2.3,0.0,1.2,0.0,92.5,0.0,6.3
NORTHSIDE ISD,15915,'015,N,N,ASVAB Alternative Test Offered,Major Urban,City-Large,N,A,11,'20,BEXAR,14.9,102719.0,13189.5,6.9,0.1,4.0,68.0,0.2,16.7,4.0,54.1,30.8,14.8,8.9,11.2,12.0,0.6,2.1,0.0,9.9,0.5,7.6
JUDSON ISD,15916,'015,N,N, ,Major Suburban,Suburb-Large,N,B,21,'20,BEXAR,15.5,25871.0,3460.6,21.2,0.2,1.8,59.1,0.5,12.8,4.4,69.9,61.8,15.5,5.4,11.4,11.5,0.9,0.3,0.1,8.8,0.4,5.3
SOUTHSIDE ISD,15917,'015,N,N, ,Major Suburban,Rural-Fringe,N,B,41,'20,BEXAR,15.6,5965.0,982.1,1.0,0.2,0.3,91.3,0.0,6.8,0.5,88.6,100.0,15.8,7.0,24.0,22.5,2.4,0.3,0.2,0.9,0.7,7.0
JOHNSON CITY ISD,16901,'016,N,N, ,Rural,Rural-Distant,N,H,42,'13,BLANCO,11.7,722.0,122.1,0.0,0.0,0.7,29.9,0.0,67.2,2.2,42.4,42.1,14.3,10.0,7.6,7.6,0.3,1.2,0.3,4.3,0.6,4.2
BLANCO ISD,16902,'016,N,N, ,Non-metropolitan Stable,Rural-Distant,N,G,42,'13,BLANCO,12.6,1088.0,168.2,0.7,0.2,0.3,41.6,0.1,54.6,2.5,42.8,44.8,15.2,8.3,8.6,8.7,0.0,0.7,2.8,1.2,0.1,6.3
BORDEN COUNTY ISD,17901,'017,N,N, ,Rural,Rural-Remote,N,H,43,'17,BORDEN,9.5,225.0,52.2,0.0,0.4,0.0,23.1,0.0,74.7,1.8,35.1,100.0,5.8,6.7,0.4,0.9,0.0,0.0,0.0,0.0,0.0,8.9
CLIFTON ISD,18901,'018,N,N, ,Non-metropolitan Stable,Town-Distant,N,G,32,'12,BOSQUE,11.9,1024.0,171.7,1.3,0.0,0.8,35.6,0.2,57.0,5.1,57.4,100.0,17.7,11.5,8.3,8.3,1.4,0.4,0.5,7.4,0.2,4.2
MERIDIAN ISD,18902,'018,N,N, ,Rural,Rural-Remote,N,H,43,'12,BOSQUE,7.7,357.0,88.4,3.4,0.0,0.8,37.0,0.3,54.6,3.9,70.0,99.4,18.5,12.6,6.7,7.0,0.6,0.0,0.0,2.2,0.0,15.1
MORGAN ISD,18903,'018,N,N, ,Rural,Rural-Remote,N,H,43,'12,BOSQUE,9.2,152.0,28.8,0.0,0.7,0.0,57.9,0.0,36.8,4.6,83.6,100.0,19.7,5.3,11.8,11.8,0.0,2.0,0.0,5.3,0.0,2.0
VALLEY MILLS ISD,18904,'018,N,N, ,Rural,Rural-Distant,N,H,42,'12,BOSQUE,11.9,665.0,95.7,1.7,0.0,1.2,28.4,0.2,64.4,4.2,53.8,100.0,16.2,12.2,9.0,9.0,0.0,0.0,1.2,1.2,0.2,3.5
WALNUT SPRINGS ISD,18905,'018,N,N, ,Rural,Rural-Remote,N,H,43,'12,BOSQUE,9.5,171.0,28.2,0.6,0.0,0.0,66.1,0.0,32.7,0.6,90.1,100.0,15.8,7.0,31.0,31.0,1.2,2.3,1.2,7.6,0.0,0.6
IREDELL ISD,18906,'018,N,N, ,Rural,Rural-Remote,N,H,43,'12,BOSQUE,8.4,142.0,28.6,0.0,0.0,0.0,33.1,0.0,66.2,0.7,70.4,100.0,18.3,6.3,0.0,0.0,9.2,0.0,0.0,3.5,0.0,5.6
KOPPERL ISD,18907,'018,N,N, ,Rural,Rural-Remote,N,H,43,'12,BOSQUE,10.5,186.0,35.2,1.1,0.0,0.0,11.3,0.0,84.4,3.2,67.2,100.0,19.4,10.2,0.0,0.0,0.0,0.0,0.5,4.3,0.0,8.6
CRANFILLS GAP ISD,18908,'018,N,N, ,Rural,Rural-Remote,N,H,43,'12,BOSQUE,7.9,126.0,30.9,4.0,0.0,0.8,34.9,0.0,57.9,2.4,61.9,100.0,19.0,9.5,5.6,5.6,3.2,0.0,0.0,0.0,0.8,1.6
DEKALB ISD,19901,'019,N,N, ,Rural,Rural-Distant,N,H,42,'08,BOWIE,12.4,828.0,113.2,17.3,0.8,0.6,14.5,0.0,59.5,7.2,70.0,100.0,12.7,12.8,4.8,5.3,1.2,0.1,0.0,0.5,0.5,8.9
HOOKS ISD,19902,'019,N,N, ,Non-metropolitan Stable,Town-Fringe,N,G,31,'08,BOWIE,12.7,920.0,156.9,11.3,0.2,0.3,9.5,0.4,67.8,10.4,57.1,100.0,12.6,14.9,3.4,3.4,0.5,0.0,0.0,0.3,0.2,7.9
MAUD ISD,19903,'019,N,N, ,Rural,Rural-Distant,N,H,42,'08,BOWIE,11.4,476.0,80.6,4.8,0.4,0.0,6.5,0.4,81.3,6.5,56.5,100.0,12.6,16.2,0.4,0.4,0.6,0.0,0.0,0.6,0.0,6.3
NEW BOSTON ISD,19905,'019,N,N, ,Non-metropolitan Stable,Town-Distant,N,G,32,'08,BOWIE,9.8,1154.0,228.4,21.5,0.3,0.3,9.5,0.3,54.7,13.4,76.7,100.0,17.5,12.3,3.2,3.2,0.0,0.0,0.0,1.9,0.0,5.5
REDWATER ISD,19906,'019,N,N, ,Non-metropolitan Stable,Rural-Distant,N,G,42,'08,BOWIE,10.5,1059.0,156.0,2.9,0.4,0.5,3.9,0.5,88.2,3.7,51.4,100.0,10.6,14.3,0.8,0.8,1.1,0.0,0.0,11.0,0.0,9.1
TEXARKANA ISD,19907,'019,N,N, ,Independent Town,City-Small,N,E,13,'08,BOWIE,12.8,7180.0,1190.4,45.1,0.3,1.2,17.1,0.1,29.8,6.4,75.0,62.4,12.9,13.8,9.5,9.4,0.6,0.6,0.0,2.6,0.0,5.1
LIBERTY-EYLAU ISD,19908,'019,N,N, ,Non-metropolitan Stable,City-Small,N,G,13,'08,BOWIE,11.1,2003.0,402.3,57.3,0.6,0.0,6.9,0.1,27.0,8.1,87.2,73.4,16.4,8.0,2.6,2.7,0.2,0.0,0.0,0.3,0.0,4.1
SIMMS ISD,19909,'019,N,N, ,Rural,Rural-Distant,N,H,42,'08,BOWIE,9.9,484.0,86.4,0.2,0.0,0.6,3.7,0.0,91.7,3.7,49.2,99.8,10.1,15.5,1.4,1.7,1.0,0.0,0.0,0.2,0.0,5.6
MALTA ISD,19910,'019,N,N, ,Rural,Rural-Distant,N,H,42,'08,BOWIE,13.1,220.0,26.9,2.7,1.4,0.0,5.9,0.0,86.4,3.6,46.8,100.0,12.7,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9
RED LICK ISD,19911,'019,N,N, ,Rural,Suburb-Small,N,H,23,'08,BOWIE,11.9,527.0,69.9,1.7,0.4,0.8,4.7,0.0,88.8,3.6,9.9,37.8,6.6,18.4,0.8,0.8,0.0,0.0,0.0,0.4,0.0,11.0
PLEASANT GROVE ISD,19912,'019,N,N, ,Non-metropolitan Stable,City-Small,N,G,13,'08,BOWIE,12.7,2310.0,287.4,14.1,0.3,2.7,7.7,0.1,69.0,6.0,37.1,43.9,10.9,15.2,3.8,3.9,0.3,0.0,0.0,5.1,0.0,10.3
HUBBARD ISD,19913,'019,N,N, ,Rural,Rural-Distant,N,H,42,'08,BOWIE,9.6,77.0,17.3,0.0,0.0,0.0,16.9,0.0,77.9,5.2,63.6,100.0,14.3,0.0,14.3,14.3,0.0,0.0,0.0,1.3,0.0,3.9
LEARY ISD,19914,'019,N,N, ,Rural,Rural-Fringe,N,H,41,'08,BOWIE,9.3,93.0,18.0,2.2,0.0,0.0,10.8,0.0,82.8,4.3,97.8,100.0,10.8,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2
ALVIN ISD,20901,'020,N,N, ,Major Suburban,Suburb-Large,N,B,21,'04,BRAZORIA,15.6,29188.0,3712.1,25.4,0.2,9.5,40.5,0.1,21.0,3.3,53.7,48.1,13.6,6.7,17.8,17.7,0.9,0.7,0.0,1.3,0.4,7.0
ANGLETON ISD,20902,'020,N,N, ,Other Central City Suburban,Rural-Fringe,N,D,41,'04,BRAZORIA,14.9,6925.0,998.2,11.6,0.4,0.4,51.5,0.1,32.6,3.5,69.5,69.0,14.9,11.0,19.2,15.9,1.2,0.6,0.0,4.2,0.1,5.6
DANBURY ISD,20904,'020,N,N, ,Rural,Rural-Fringe,N,H,41,'04,BRAZORIA,12.1,737.0,120.8,0.5,0.1,0.1,25.2,0.0,71.1,2.8,38.1,45.9,13.8,7.9,6.6,6.9,1.8,0.8,0.0,0.7,0.3,5.2
BRAZOSPORT ISD,20905,'020,N,N, ,Other Central City Suburban,Suburb-Small,N,D,23,'04,BRAZORIA,13.6,11618.0,1906.6,6.9,0.4,1.4,56.7,0.0,31.6,3.0,68.2,70.8,15.7,6.5,13.4,13.8,2.6,1.3,0.1,3.7,0.1,11.3
SWEENY ISD,20906,'020,N,N, ,Non-metropolitan Stable,Town-Distant,N,G,32,'04,BRAZORIA,14.4,1898.0,293.8,10.7,0.1,0.3,27.3,0.0,56.6,5.1,59.6,100.0,9.7,10.1,3.9,4.2,1.6,0.4,0.1,0.7,0.2,4.1
COLUMBIA-BRAZORIA ISD,20907,'020,N,N, ,Non-metropolitan Stable,Town-Distant,N,G,32,'04,BRAZORIA,14.7,2927.0,441.7,7.4,0.2,0.3,28.0,0.0,60.9,3.1,65.6,46.6,16.4,12.2,8.0,8.9,1.9,0.4,0.0,0.3,0.6,6.5
PEARLAND ISD,20908,'020,N,N, ,Major Suburban,Suburb-Large,N,B,21,'04,BRAZORIA,16.5,21237.0,2529.2,15.3,0.2,11.5,37.9,0.1,30.9,4.0,37.0,34.1,11.6,8.3,14.2,12.6,0.5,0.7,0.0,7.7,0.3,11.9
DAMON ISD,20910,'020,N,N, ,Rural,Rural-Distant,N,H,42,'04,BRAZORIA,7.0,94.0,23.2,2.1,0.0,2.1,57.4,3.2,30.9,4.3,83.0,0.0,22.3,2.1,17.0,18.1,4.3,0.0,0.0,0.0,7.4,1.1
BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,21803,'021,Y,N, ,Charter Schools,City-Large,Y,I,11,'06,BRAZOS,13.2,308.0,57.5,34.7,0.3,1.0,58.4,0.0,3.9,1.6,95.8,100.0,9.1,0.6,39.9,39.9,0.0,0.3,0.0,0.0,0.0,0.0
ARROW ACADEMY,21805,'021,Y,N, ,Charter Schools,City-Large,Y,I,11,'06,BRAZOS,14.4,675.0,84.3,59.9,0.7,0.3,31.9,0.0,3.6,3.7,75.3,100.0,12.1,2.5,12.3,13.2,1.0,1.9,0.3,1.9,0.1,0.7
COLLEGE STATION ISD,21901,'021,N,N, ,Other Central City,City-Midsize,N,C,12,'06,BRAZOS,14.3,14464.0,2020.1,14.9,0.4,6.7,24.0,0.2,50.6,3.3,40.8,29.0,14.8,10.5,12.7,10.4,0.4,0.7,0.0,0.4,0.2,10.8
BRYAN ISD,21902,'021,N,N, ,Other Central City,City-Small,N,C,13,'06,BRAZOS,13.5,16036.0,2597.8,17.5,0.2,0.4,60.3,0.1,18.8,2.7,77.2,66.9,16.0,7.6,31.5,29.5,2.0,0.6,0.8,3.9,0.2,8.0
TERLINGUA CSD,22004,'022,N,N, ,Rural,Rural-Remote,N,H,43,'18,BREWSTER,9.2,122.0,28.0,0.8,0.8,0.0,77.0,0.0,19.7,1.6,77.9,100.0,13.9,1.6,48.4,48.4,0.0,14.8,0.0,0.0,0.0,8.2
ALPINE ISD,22901,'022,N,N, ,Non-metropolitan Stable,Town-Remote,N,G,33,'18,BREWSTER,10.9,954.0,173.8,1.2,0.4,0.9,60.5,0.1,36.2,0.7,52.2,100.0,13.8,3.6,7.0,7.2,0.7,0.0,0.0,0.0,0.0,3.2
MARATHON ISD,22902,'022,N,N, ,Rural,Rural-Remote,N,H,43,'18,BREWSTER,5.2,59.0,17.7,3.4,0.0,0.0,64.4,0.0,32.2,0.0,61.0,100.0,6.8,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5
SAN VICENTE ISD,22903,'022,N,N, ,Rural,Rural-Remote,N,H,43,'18,BREWSTER,2.0,9.0,9.5,0.0,0.0,0.0,55.6,0.0,44.4,0.0,0.0,0.0,22.2,0.0,0.0,11.1,0.0,0.0,0.0,0.0,0.0,11.1
SILVERTON ISD,23902,'023,N,N, ,Rural,Rural-Remote,N,H,43,'16,BRISCOE,10.8,213.0,37.4,0.0,0.5,0.5,39.9,0.0,57.7,1.4,49.3,100.0,10.3,8.0,5.6,5.6,0.0,0.0,0.0,0.0,1.9,8.9
BROOKS COUNTY ISD,24901,'024,N,N, ,Other Central City Suburban,Town-Remote,N,D,33,'01,BROOKS,14.4,1285.0,197.8,0.2,0.1,0.2,97.2,0.0,2.3,0.0,93.3,99.8,14.9,3.6,1.9,2.3,2.3,0.0,1.0,0.0,0.5,2.3
BANGS ISD,25901,'025,N,N, ,Rural,Rural-Distant,N,H,42,'15,BROWN,11.6,862.0,143.2,2.0,0.1,0.6,26.0,0.0,69.0,2.3,66.2,71.3,11.3,10.0,1.6,1.7,0.2,0.0,0.0,5.6,1.2,4.3
BROWNWOOD ISD,25902,'025,N,N, ,Independent Town,Town-Remote,N,E,33,'15,BROWN,13.2,3443.0,505.5,4.3,0.3,0.4,44.2,0.0,46.1,4.8,67.5,100.0,15.2,8.7,3.4,3.4,0.9,0.0,0.0,2.6,2.3,7.1
BLANKET ISD,25904,'025,N,N, ,Rural,Rural-Distant,N,H,42,'15,BROWN,7.0,142.0,35.0,0.0,0.0,0.0,34.5,0.0,65.5,0.0,62.7,100.0,13.4,7.0,2.8,2.8,1.4,0.0,0.0,2.8,3.5,7.0
MAY ISD,25905,'025,N,N, ,Rural,Rural-Remote,N,H,43,'15,BROWN,9.8,254.0,46.2,0.4,0.0,0.0,19.3,0.0,75.2,5.1,62.6,47.2,16.9,4.7,5.9,5.9,0.4,1.6,0.0,0.8,0.0,7.5
ZEPHYR ISD,25906,'025,N,N, ,Rural,Rural-Distant,N,H,42,'15,BROWN,10.7,227.0,37.3,0.4,0.4,0.0,11.9,0.9,81.9,4.4,61.2,100.0,13.7,11.0,0.9,0.9,0.0,0.0,0.0,0.9,0.4,8.4
BROOKESMITH ISD,25908,'025,N,N, ,Rural,Rural-Remote,N,H,43,'15,BROWN,8.6,188.0,51.3,6.4,0.5,0.0,21.3,0.0,70.2,1.6,58.5,76.6,25.0,6.4,1.6,0.5,0.5,0.0,0.0,0.0,3.2,1.1
EARLY ISD,25909,'025,N,N, ,Non-metropolitan Stable,Town-Remote,N,G,33,'15,BROWN,12.0,1155.0,179.4,1.7,0.1,1.8,27.4,0.0,65.1,3.9,46.6,68.3,10.7,10.2,2.5,2.6,1.0,0.0,0.2,11.0,1.8,5.5
CALDWELL ISD,26901,'026,N,N, ,Other Central City Suburban,Rural-Fringe,N,D,41,'06,BURLESON,13.4,1932.0,310.1,8.2,0.2,0.6,38.7,0.1,47.7,4.6,61.5,100.0,12.0,11.9,14.2,14.5,0.0,0.8,0.0,0.5,0.3,3.1
SOMERVILLE ISD,26902,'026,N,N, ,Rural,Rural-Distant,N,H,42,'06,BURLESON,10.6,533.0,80.7,15.9,0.0,0.9,37.5,0.0,39.0,6.6,74.1,62.7,12.9,7.9,11.8,10.3,0.0,1.1,0.8,3.9,0.2,2.4
SNOOK ISD,26903,'026,N,N, ,Rural,Rural-Distant,N,H,42,'06,BURLESON,12.1,589.0,103.4,16.6,0.3,0.0,36.5,0.0,43.8,2.7,68.6,100.0,11.9,13.2,15.8,15.8,0.0,0.7,0.3,0.3,0.0,4.6
BURNET CISD,27903,'027,N,N, ,Other Central City Suburban,Rural-Fringe,N,D,41,'13,BURNET,14.0,3304.0,485.6,1.0,0.5,0.7,32.8,0.1,62.6,2.4,60.8,69.8,16.6,13.2,10.5,10.8,1.0,0.8,0.0,8.6,0.5,4.4
MARBLE FALLS ISD,27904,'027,N,N, ,Independent Town,Town-Distant,N,E,32,'13,BURNET,13.6,4063.0,673.3,1.6,0.4,1.1,49.7,0.1,44.3,2.8,67.2,98.8,17.0,9.8,22.6,22.8,3.2,2.5,0.1,0.7,1.7,6.8
LOCKHART ISD,28902,'028,N,N, ,Other Central City Suburban,Town-Fringe,N,D,31,'13,CALDWELL,15.9,6443.0,792.8,2.3,0.2,0.2,80.0,0.0,15.8,1.5,73.0,47.0,13.0,9.7,34.2,35.2,1.6,1.1,0.0,0.0,0.4,5.0
LULING ISD,28903,'028,N,N, ,Non-metropolitan Stable,Town-Distant,N,G,32,'13,CALDWELL,13.0,1416.0,195.6,6.0,0.1,0.1,69.2,0.2,22.4,2.0,79.1,100.0,13.1,7.2,13.8,13.8,1.5,0.7,0.5,0.1,0.1,5.7
PRAIRIE LEA ISD,28906,'028,N,N, ,Rural,Rural-Distant,N,H,42,'13,CALDWELL,11.9,229.0,34.7,5.2,0.4,0.0,66.4,0.0,24.9,3.1,79.9,100.0,10.9,4.8,12.2,12.7,0.9,0.0,0.0,0.4,0.0,3.1
CALHOUN COUNTY ISD,29901,'029,N,N, ,Non-metropolitan Stable,Town-Distant,N,G,32,'03,CALHOUN,13.6,3530.0,563.2,1.4,0.1,5.0,67.7,0.0,25.1,0.7,64.1,71.3,12.6,8.0,13.7,13.8,3.4,2.5,0.6,1.6,0.1,6.4
CROSS PLAINS ISD,30901,'030,N,N, ,Rural,Rural-Remote,N,H,43,'14,CALLAHAN,10.1,377.0,66.3,0.0,0.3,0.0,19.9,0.0,78.5,1.3,67.9,56.2,14.1,8.0,2.9,2.9,3.4,0.0,0.0,0.3,1.6,6.1
CLYDE CISD,30902,'030,N,N, ,Other Central City Suburban,Town-Distant,N,D,32,'14,CALLAHAN,13.0,1440.0,233.6,0.8,0.1,0.0,16.9,0.1,77.8,4.2,48.6,70.2,15.3,6.0,0.9,0.9,2.4,0.0,0.1,4.2,0.6,5.2
BAIRD ISD,30903,'030,N,N, ,Rural,Rural-Distant,N,H,42,'14,CALLAHAN,9.5,312.0,60.4,0.3,0.0,0.0,21.2,0.0,76.3,2.2,51.3,54.2,20.8,4.5,0.0,0.0,3.5,0.0,0.0,9.0,0.3,9.0
EULA ISD,30906,'030,N,N, ,Rural,Rural-Distant,N,H,42,'14,CALLAHAN,9.5,474.0,80.5,0.2,0.6,0.4,18.8,0.4,76.8,2.7,46.8,55.5,17.7,4.9,0.2,0.2,3.6,0.0,0.0,3.0,1.1,6.1
BROWNSVILLE ISD,31901,'031,N,N, ,Other Central City,City-Midsize,N,C,12,'01,CAMERON,14.7,37898.0,5935.8,0.1,0.0,0.2,98.3,0.0,1.3,0.0,89.1,99.2,16.2,9.6,39.4,39.9,3.3,0.8,0.9,0.8,0.2,10.3
HARLINGEN CISD,31903,'031,N,N, ,Other Central City Suburban,City-Small,N,D,13,'01,CAMERON,14.2,17034.0,2708.6,0.5,0.1,0.3,94.2,0.0,4.5,0.4,79.3,68.1,12.2,6.6,19.0,15.6,0.4,0.3,1.2,1.5,0.2,7.4
LA FERIA ISD,31905,'031,N,N, ,Non-metropolitan Stable,Suburb-Midsize,N,G,22,'01,CAMERON,14.0,2926.0,503.1,0.1,0.2,0.1,97.1,0.0,2.2,0.2,87.3,100.0,13.7,4.7,14.6,15.3,10.4,0.6,5.1,1.2,0.3,5.3
LOS FRESNOS CISD,31906,'031,N,N, ,Other Central City Suburban,Suburb-Midsize,N,D,22,'01,CAMERON,15.4,10565.0,1629.2,0.2,0.1,0.2,96.6,0.0,2.8,0.1,80.5,100.0,16.0,7.3,24.5,23.1,0.6,0.9,0.5,2.7,0.2,7.3
POINT ISABEL ISD,31909,'031,N,N, ,Other Central City Suburban,Town-Distant,N,D,32,'01,CAMERON,14.4,1930.0,328.0,0.5,0.4,0.2,90.4,0.1,7.9,0.6,87.4,100.0,11.2,4.4,37.7,39.6,2.2,3.4,0.0,2.1,0.2,5.6
RIO HONDO ISD,31911,'031,N,N, ,Non-metropolitan Stable,Rural-Fringe,N,G,41,'01,CAMERON,13.4,1622.0,290.7,0.2,0.0,0.0,95.5,0.0,3.9,0.4,87.0,99.8,15.2,4.8,11.1,12.2,0.6,0.6,4.5,3.8,0.0,7.2
SAN BENITO CISD,31912,'031,N,N, ,Other Central City Suburban,Suburb-Midsize,N,D,22,'01,CAMERON,14.7,9354.0,1469.9,0.2,0.1,0.0,98.4,0.0,1.2,0.1,86.7,98.6,12.0,4.4,26.8,26.9,2.5,1.4,5.9,0.8,0.3,4.3
SANTA MARIA ISD,31913,'031,N,N, ,Rural,Rural-Fringe,N,H,41,'01,CAMERON,9.5,567.0,167.2,0.2,0.0,0.0,97.7,0.0,1.6,0.5,99.8,100.0,9.3,1.4,46.0,47.4,0.9,0.9,5.3,0.4,0.0,7.6
SANTA ROSA ISD,31914,'031,N,N, ,Non-metropolitan Stable,Suburb-Midsize,N,G,22,'01,CAMERON,10.4,915.0,199.5,0.0,0.0,0.0,99.2,0.0,0.8,0.0,87.9,99.8,14.4,3.2,20.7,21.2,5.7,1.0,2.4,3.4,0.3,3.6
SOUTH TEXAS ISD,31916,'031,N,N, ,Non-metropolitan Stable,Rural-Fringe,N,G,41,'01,CAMERON,13.9,4382.0,646.9,1.2,0.1,6.5,83.9,0.0,7.3,0.8,55.5,100.0,4.9,6.2,13.7,15.0,0.3,0.2,0.3,0.1,0.0,16.7
PITTSBURG ISD,32902,'032,N,N, ,Non-metropolitan Stable,Town-Distant,N,G,32,'08,CAMP,11.2,2360.0,436.3,15.3,0.1,0.8,44.5,0.0,34.8,4.4,81.3,100.0,12.9,10.7,20.5,21.1,3.6,0.8,0.2,3.6,0.6,4.4
GROOM ISD,33901,'033,N,N, ,Rural,Rural-Remote,N,H,43,'16,CARSON,7.7,150.0,34.7,0.0,0.0,0.0,7.3,0.0,92.0,0.7,34.7,100.0,22.0,12.0,0.7,0.7,1.3,0.0,0.0,1.3,0.0,2.0
PANHANDLE ISD,33902,'033,N,N, ,Rural,Rural-Distant,N,H,42,'16,CARSON,11.1,657.0,109.2,1.1,1.1,0.6,13.2,0.0,80.8,3.2,30.1,48.2,14.2,11.7,2.0,2.0,1.8,0.0,0.0,9.9,0.5,7.9
WHITE DEER ISD,33904,'033,N,N, ,Rural,Rural-Remote,N,H,43,'16,CARSON,10.1,334.0,64.1,0.6,0.6,0.0,16.8,0.0,81.4,0.6,53.3,100.0,13.5,6.3,2.4,2.7,0.6,0.0,0.0,0.9,0.0,8.4
ATLANTA ISD,34901,'034,N,N, ,Independent Town,Rural-Fringe,N,E,41,'08,CASS,12.2,1879.0,353.3,30.1,0.5,0.5,9.3,0.1,52.6,6.9,65.6,100.0,14.1,10.9,2.4,2.4,4.4,0.0,0.0,6.5,0.6,8.7
AVINGER ISD,34902,'034,N,N, ,Rural,Rural-Distant,N,H,42,'08,CASS,7.1,123.0,28.8,15.4,2.4,0.0,6.5,0.0,69.1,6.5,78.0,99.2,13.8,9.8,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0
HUGHES SPRINGS ISD,34903,'034,N,N, ,Non-metropolitan Stable,Town-Distant,N,G,32,'08,CASS,10.6,1149.0,208.3,11.1,0.1,1.2,12.1,0.0,72.9,2.6,59.3,100.0,13.0,16.2,4.8,5.1,0.8,0.2,0.0,0.0,0.5,6.9
LINDEN-KILDARE CISD,34905,'034,N,N, ,Rural,Rural-Remote,N,H,43,'08,CASS,10.2,660.0,136.6,13.5,0.6,1.1,9.5,0.0,67.4,7.9,73.3,100.0,16.4,11.7,5.8,5.8,0.3,0.0,0.0,3.9,0.2,6.2
MCLEOD ISD,34906,'034,N,N, ,Rural,Rural-Distant,N,H,42,'08,CASS,11.5,414.0,64.2,0.7,0.5,0.0,2.4,0.0,92.0,4.3,57.5,100.0,13.3,21.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,10.9
QUEEN CITY ISD,34907,'034,N,N, ,Non-metropolitan Stable,Town-Distant,N,G,32,'08,CASS,10.2,954.0,173.1,13.9,0.6,0.2,4.2,0.3,74.4,6.3,64.5,100.0,19.1,14.8,0.1,0.1,4.4,0.0,0.0,0.2,0.0,6.9
BLOOMBURG ISD,34909,'034,N,N, ,Rural,Rural-Distant,N,H,42,'08,CASS,10.6,256.0,49.2,2.7,0.0,0.8,5.5,0.0,89.5,1.6,80.9,100.0,15.2,10.5,2.3,2.3,0.8,0.0,0.0,1.2,0.0,0.8
DIMMITT ISD,35901,'035,N,N, ,Other Central City Suburban,Town-Remote,N,D,33,'16,CASTRO,12.5,1097.0,216.6,0.5,0.1,0.5,91.4,0.0,7.4,0.1,85.3,99.5,10.2,3.7,23.1,26.1,0.2,2.5,2.2,1.1,0.3,5.7
HART ISD,35902,'035,N,N, ,Rural,Rural-Remote,N,H,43,'16,CASTRO,11.6,207.0,39.2,0.0,0.0,0.0,92.8,0.0,6.8,0.5,83.6,100.0,12.6,4.3,26.1,25.1,21.3,0.0,6.8,0.0,0.0,2.9
NAZARETH ISD,35903,'035,N,N, ,Rural,Rural-Remote,N,H,43,'16,CASTRO,10.5,250.0,39.5,0.8,0.8,0.0,8.8,0.0,87.2,2.4,20.8,100.0,9.2,8.0,0.8,0.4,0.0,0.0,0.0,2.4,0.0,4.8
ANAHUAC ISD,36901,'036,N,N, ,Non-metropolitan Stable,Rural-Distant,N,G,42,'04,CHAMBERS,14.4,1493.0,212.6,9.4,0.1,1.9,35.0,0.0,48.0,5.6,61.6,69.6,14.9,8.4,7.8,7.8,1.5,0.0,0.0,6.1,0.0,5.9
BARBERS HILL ISD,36902,'036,N,N, ,Other Central City Suburban,Rural-Fringe,N,D,41,'04,CHAMBERS,13.4,7339.0,1147.0,4.3,0.3,1.5,29.1,0.0,61.4,3.3,29.5,56.9,11.6,8.3,4.9,4.9,0.2,0.6,0.0,10.4,0.0,5.8
EAST CHAMBERS ISD,36903,'036,N,N, ,Non-metropolitan Stable,Town-Distant,N,G,32,'05,CHAMBERS,13.4,1556.0,218.7,7.3,0.1,0.5,46.5,0.1,41.8,3.7,63.4,48.1,13.0,7.9,26.2,26.7,1.7,0.3,0.0,3.5,0.1,6.6
ALTO ISD,37901,'037,N,N, ,Rural,Rural-Distant,N,H,42,'07,CHEROKEE,10.0,536.0,105.8,21.6,0.0,0.6,35.8,0.0,34.0,8.0,78.0,100.0,18.7,9.5,19.0,20.5,3.7,0.4,0.2,5.4,0.6,6.5
JACKSONVILLE ISD,37904,'037,N,N, ,Independent Town,Town-Distant,N,E,32,'07,CHEROKEE,13.9,4909.0,821.4,15.7,0.6,0.6,53.6,0.0,26.1,3.5,82.5,100.0,15.4,9.2,37.5,33.8,0.9,1.1,0.0,0.1,0.0,9.7
